08:58:27.377 3871 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - handlebars unpacked to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/chameleon-test-cache/bundle44/data/webjars/handlebars-1.3.0/handlebars/1.3.0
08:58:27.378 3872 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - Web Library found in jquery-2.1.0-2.jar : jquery-2.1.0
08:58:27.390 3884 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - jquery unpacked to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/chameleon-test-cache/bundle44/data/webjars/jquery-2.1.0/jquery/2.1.0
08:58:27.391 3885 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - Web Library found in jquery-mousewheel-3.1.9.jar : jquery-mousewheel-3.1.9
08:58:27.393 3887 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - jquery-mousewheel unpacked to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/chameleon-test-cache/bundle44/data/webjars/jquery-mousewheel-3.1.9/jquery-mousewheel/3.1.9
08:58:27.394 3888 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - Web Library found in momentjs-2.5.1-1.jar : momentjs-2.5.1
08:58:27.427 3921 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - momentjs unpacked to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/chameleon-test-cache/bundle44/data/webjars/momentjs-2.5.1/momentjs/2.5.1
08:58:27.429 3923 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - Web Library found in tablesorter-2.15.5.jar : tablesorter-2.15.5
08:58:27.457 3951 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.resources.WebJarDeployer - tablesorter unpacked to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/chameleon-test-cache/bundle44/data/webjars/tablesorter-2.15.5/tablesorter/2.15.5
08:58:27.458 3952 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.resources.WebJarDeployer@711db567 for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/conf.
08:58:27.540 4034 [[iPOJO] pool-1-thread-1] INFO  o.w.t.t.ThymeleafTemplateCollector - Thymeleaf configuration: mode=HTML5, ttl=1
08:58:27.675 4169 [[iPOJO] pool-1-thread-1] INFO  o.w.t.t.tracker.TemplateDeployer - Starting thymeleaf template deployer
08:58:27.676 4170 [[iPOJO] pool-1-thread-1] INFO  o.w.t.t.tracker.TemplateDeployer - Template directory set to /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates
08:58:27.678 4172 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.ow2.chameleon.core.activators.BundleDeployer@68c9133c for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates.
08:58:27.678 4172 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.ow2.chameleon.core.activators.ConfigDeployer@654d8173 for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates.
08:58:27.680 4174 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.configuration.ApplicationConfigurationImpl$ConfigurationDeployer@6897b35c for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates.
08:58:27.680 4174 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.resources.WebJarDeployer@711db567 for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates.
08:58:27.683 4177 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.template.thymeleaf.tracker.TemplateDeployer@4f9a076d for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/runtime.
08:58:27.684 4178 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.template.thymeleaf.tracker.TemplateDeployer@4f9a076d for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/application.
08:58:27.685 4179 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.template.thymeleaf.tracker.TemplateDeployer@4f9a076d for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/conf.
08:58:27.686 4180 [[iPOJO] pool-1-thread-1] INFO  o.o.c.c.activators.DirectoryMonitor - Opening deployer org.wisdom.template.thymeleaf.tracker.TemplateDeployer@4f9a076d for directory /Users/clement/Projects/wisdom/wisdom-docker/target/wisdom/templates.
08:58:27.692 4186 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.router.RequestRouter - Adding routes from org.wisdom.resources.WebJarController@5dc2b2fb
08:58:27.697 4191 [[iPOJO] pool-1-thread-1] INFO  org.wisdom.router.RequestRouter - Adding routes from org.wisdom.resources.AssetController@458c60df
